Data Name (clickでcopy),Type,c_code,Category [jp],Category [en],cid(data id),Name [jp],Name [en]
soil_volumetric_water_content_depth10cm,env,32000,土壌水分,Soil Moisture,32210,土壌体積含水率 (深度10cm),Soil Volumetric Water Content (10cm)
soil_volumetric_water_content_depth15cm,env,32000,土壌水分,Soil Moisture,32215,土壌体積含水率 (深度15cm),Soil Volumetric Water Content (15cm)
soil_volumetric_water_content_depth20cm,env,32000,土壌水分,Soil Moisture,32220,土壌体積含水率 (深度20cm),Soil Volumetric Water Content (20cm)
soil_volumetric_water_content_depth25cm,env,32000,土壌水分,Soil Moisture,32225,土壌体積含水率 (深度25cm),Soil Volumetric Water Content (25cm)
soil_volumetric_water_content_depth30cm,env,32000,土壌水分,Soil Moisture,32230,土壌体積含水率 (深度30cm),Soil Volumetric Water Content (30cm)
soil_volumetric_water_content_depth35cm,env,32000,土壌水分,Soil Moisture,32235,土壌体積含水率 (深度35cm),Soil Volumetric Water Content (35cm)
soil_volumetric_water_content_depth40cm,env,32000,土壌水分,Soil Moisture,32240,土壌体積含水率 (深度40cm),Soil Volumetric Water Content (40cm)
soil_volumetric_water_content_depth45cm,env,32000,土壌水分,Soil Moisture,32245,土壌体積含水率 (深度45cm),Soil Volumetric Water Content (45cm)
soil_volumetric_water_content_depth50cm,env,32000,土壌水分,Soil Moisture,32250,土壌体積含水率 (深度50cm),Soil Volumetric Water Content (50cm)
soil_volumetric_water_content_depth55cm,env,32000,土壌水分,Soil Moisture,32255,土壌体積含水率 (深度55cm),Soil Volumetric Water Content (55cm)
soil_volumetric_water_content_depth60cm,env,32000,土壌水分,Soil Moisture,32260,土壌体積含水率 (深度60cm),Soil Volumetric Water Content (60cm)
soil_water_matric_potential,env,32000,土壌水分,Soil Moisture,32300,土壌水分ポテンシャル,Soil Water Matric Potential
substrate_volumetric_water_content,env,32000,土壌水分,Soil Moisture,32400,培地体積含水率,Substrate Volumetric Water Content
,,,,,,,
total_water_flow_value,env,33000,灌水,Irrigation,33100,灌水流量 (m3),Irrigation Water Flow (m3)
irrigation_duration,env,33000,灌水,Irrigation,33110,灌水時間,Irrigation Duration
irrigation_water,env,33000,灌水,Irrigation,33120,灌水量 (L/m2),Irrigation Water (L/m2)
tank_water_level_ratio,env,33000,灌水,Irrigation,33130,タンク水位比率,Tank Water Level Ratio
irrigation_water_per_solar_irradiance,env,33000,灌水,Irrigation,33210,日射量当たり灌水量,Irrigation Water Per Solar Irradiance
water_depth,env,33000,灌水,Irrigation,33300,水深,Water Depth
water_level_from_land_surface,env,33000,灌水,Irrigation,33310,水底からの水位,Water Level From Land Surface
irrigation_EC,env,33000,灌水,Irrigation,33400,灌水EC,Irrigation EC
irrigation_pH,env,33000,灌水,Irrigation,33410,潅水pH,Irrigation Ph
solution_electrical_conductivity,env,33000,灌水,Irrigation,33500,養液EC,Solution Electrical Conductivity
solution_pH,env,33000,灌水,Irrigation,33510,養液pH,Solution pH
solution_ammonium_nitrogen_sub-conc,env,33000,灌水,Irrigation,33520,養液中アンモニア態窒素,Solution Ammonium Nitrogen Sub Conc
solution_nitrate_nitrogen_sub-conc,env,33000,灌水,Irrigation,33530,養液中硝酸態窒素,Solution Nitrate Nitrogen Sub Conc
solution_phosphorus_sub-conc,env,33000,灌水,Irrigation,33540,養液中リン酸,Solution Phosphorus Sub Conc
solution_potassium_sub-conc,env,33000,灌水,Irrigation,33550,養液中カリウム,Solution Potassium Sub Conc
solution_calcium_sub-conc,env,33000,灌水,Irrigation,33560,養液中カルシウム,Solution Calcium Sub Conc
solution_magnesium_sub-conc,env,33000,灌水,Irrigation,33570,養液中マグネシウム,Solution Magnesium Sub Conc
solution_copper_sub-conc,env,33000,灌水,Irrigation,33580,養液中銅,Solution Copper Sub Conc
solution_zinc_sub-conc,env,33000,灌水,Irrigation,33590,養液中亜鉛,Solution Zinc Sub Conc
solution_manganese_sub-conc,env,33000,灌水,Irrigation,33600,養液中マンガン,Solution Manganese Sub Conc
solution_boron_sub-conc,env,33000,灌水,Irrigation,33610,養液中ホウ素,Solution Boron Sub Conc
solution_ferric_oxide_sub-conc,env,33000,灌水,Irrigation,33620,養液中鉄,Solution Ferric Oxide Sub Conc
solution_molybdenum_sub-conc,env,33000,灌水,Irrigation,33630,養液中モリブデン,Solution Molybdenum Sub Conc
solution_chlorine_sub-conc,env,33000,灌水,Irrigation,33640,養液中塩素,Solution Chlorine Sub Conc
solution_sulfate_sub-conc,env,33000,灌水,Irrigation,33650,養液中硫酸,Solution Sulfate Sub Conc
drainage_water,env,33000,灌水,Irrigation,33800,排液量,Drainage Water
drainage_ratio,env,33000,灌水,Irrigation,33810,排液率,Drainage Ratio
drainage_electrical_conductivity,env,33000,灌水,Irrigation,33900,排液EC,Drainage Electrical Conductivity
drainage_pH,env,33000,灌水,Irrigation,33910,排液pH,Drainage Ph
slab_electrical_conductivity,env,33000,灌水,Irrigation,33920,スラブ内EC,Slab Electrical Conductivity
slab_pH,env,33000,灌水,Irrigation,33930,スラブ内pH,Slab Ph
,,,,,,,
soil_penetration_resistance,env,35000,土壌 物理性,Soil Physical Properties,35000,土壌貫入抵抗,Soil Penetration Resistance
gaseous phase ratio,env,35000,土壌 物理性,Soil Physical Properties,35010,気相率,Gaseous Phase Ratio
liquid_phase_ratio,env,35000,土壌 物理性,Soil Physical Properties,35020,液相率,Liquid Phase Ratio
solid_phase_ratio,env,35000,土壌 物理性,Soil Physical Properties,35030,固相率,Solid Phase Ratio
soil_bulk_density,env,35000,土壌 物理性,Soil Physical Properties,35040,土壌仮比重,Soil Bulk Density
soil_porocity,env,35000,土壌 物理性,Soil Physical Properties,35050,土壌孔隙率,Soil Porosity
gravitational_water_porosity,env,35000,土壌 物理性,Soil Physical Properties,35060,重力水孔隙率,Gravitational Water Porosity
effective_water_porosity,env,35000,土壌 物理性,Soil Physical Properties,35070,易有効水分孔隙率,Effective Water Porosity
soil_clay_mass-fraction,env,35000,土壌 物理性,Soil Physical Properties,35080,土壌中粘土含量,Soil Clay Mass Fraction
soil_silt_mass-fraction,env,35000,土壌 物理性,Soil Physical Properties,35090,土壌中シルト含量,Soil Silt Mass Fraction
soil_sand_mass-fraction,env,35000,土壌 物理性,Soil Physical Properties,35100,土壌中砂含量,Soil Sand Mass Fraction
soil_fine_sand_mass-fraction,env,35000,土壌 物理性,Soil Physical Properties,35110,土壌中細砂含量,Soil Fine Sand Mass Fraction
soil_coarse_sand_mass-fraction,env,35000,土壌 物理性,Soil Physical Properties,35120,土壌中粗砂含量,Soil Coarse Sand Mass Fraction
soil_water_holding_capacity,env,35000,土壌 物理性,Soil Physical Properties,35130,土壌水分保持力,Soil Water Holding Capacity
field_capacity,env,35000,土壌 物理性,Soil Physical Properties,35140,圃場容水量,Field Capacity
soil_saturated_hydraulic_conductivity,env,35000,土壌 物理性,Soil Physical Properties,35150,飽和透水係数,Soil Saturated Hydraulic Conductivity
soil_unsaturated_hydraulic_conductivity,env,35000,土壌 物理性,Soil Physical Properties,35160,不飽和透水係数,Soil Unsaturated Hydraulic Conductivity
